title,date,image,link
巨大的轟鳴 突然決定去《登鸛雀樓》十週年演唱會,2024/11/17 (日)  ~ 2024/12/06 (五),https://indievox.static.tixcraft.com/images/activity/24_iv02984f2_c6d1a8c71eaa3146ea5a513cc2f7481d.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv02984f2
12/6(五)2024黃稚嘉 Vòng chṳkâ kapoli  ✧咱koh來一擺✧巡迴專場 台中場,2024/12/06 (五),https://indievox.static.tixcraft.com/images/activity/24_iv0324860_2a4c8ed68bf8ef661c8599068ace8cff.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0324860
冷 Laang 亞洲巡迴台灣高雄場,2024/12/06 (五),https://indievox.static.tixcraft.com/images/activity/24_iv0320624_6d279c68c171ef402f272a46c73185a9.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0320624
生祥樂隊《種樹與野生》15+3週年紀念演唱會,2024/12/06 (五),https://indievox.static.tixcraft.com/images/activity/24_iv03196fb_5dd8ba4ede24d1ce90c464910cad69fc.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03196fb
遭遇Vooid巡迴 台中場,2024/12/06 (五),https://indievox.static.tixcraft.com/images/activity/24_iv032920b_39e1c6934e4624cb4de1314e290aa759.jpeg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032920b
2024 The Next Big Thing 大團誕生（年終特別場）,2024/12/07 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03290c4_1d87989260047d9a1fb19a564195c6eb.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03290c4
2024 虎山音樂祭 Tiger Mountain Ramble,2024/12/07 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03235e3_1ddd8e52633ac2054537e3ac41b87917.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03235e3
【What a Waste of Acoustic】Control T 台北專場,2024/12/07 (六),https://indievox.static.tixcraft.com/images/activity/24_iv032868f_2ce7144da94c11f705b63f5a11b0eb0f.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032868f
青虫aoi《愛人，不如愛虫》冬季小巡迴桃園場,2024/12/07 (六),https://indievox.static.tixcraft.com/images/activity/24_iv032390d_c92e830bde005c7a8e709a4770b984ea.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032390d
12/07(六) 向宇宙下訂單 (台中場）,2024/12/07 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03205d4_47f743bcf4c99e09803f301078bd0340.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03205d4
「不斷不斷整裝待發!」徐嘉蔚 Emiko mini-concert 台北場,2024/12/08 (日),https://indievox.static.tixcraft.com/images/activity/24_iv0327671_3fca107a6c91a935c137034faccf232c.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0327671
【啟航】技術病毒3.4 專場,2024/12/08 (日),https://indievox.static.tixcraft.com/images/activity/24_iv032388a_d931494acf41a900b02e0abfa32690eb.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032388a
步行者 2024新專輯《橋》發片暨十週年專場,2024/12/08 (日),https://indievox.static.tixcraft.com/images/activity/24_iv03132c7_eda135abc25ef0abd4478bc7d443cee1.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03132c7
Legacy Presents【2024 Forest Night 】巴大雄－雄心未泯,2024/12/11 (三),https://indievox.static.tixcraft.com/images/activity/24_iv0320107_b75e4407a6f6abf88e7f21c7fdd25f13.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0320107
雅維‧茉芮「藤蔓」演唱會,2024/12/12 (四),https://indievox.static.tixcraft.com/images/activity/24_iv0330549_93d884fe2c6d0c6c9c6fe66c2cbed0f4.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0330549
Kinemas 2024 台北小唱遊,2024/12/14 (六),https://indievox.static.tixcraft.com/images/activity/24_iv0331512_3571ba6d69bccc0b020ad5ee7180c6e8.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0331512
Legacy Presents【2024都市女聲】洪安妮 “A Room in Brockley” 2024 Live  台北場,2024/12/14 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03254d0_0f6baa8524a52a85299fdd646f3047e1.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03254d0
台灣龐克折返跑音樂節2024,2024/12/14 (六)  ~ 2024/12/15 (日),https://indievox.static.tixcraft.com/images/activity/24_iv03280be_da0e7475389abb9bbb5e0362a52ece54.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03280be
舞炯恩【太陽之子】演唱會－高雄場,2024/12/14 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03211ab_c8f49616019273429543a11b12bdbc72.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03211ab
Smiling death on the stage 第五層 台上見地獄,2024/12/15 (日),https://indievox.static.tixcraft.com/images/activity/24_iv0329750_10c0dd64eba0db7b4ea944b2c35dec22.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0329750
FIRE ON MUSIC PRESENTS：BonFire Clash！台北場,2024/12/19 (四),https://indievox.static.tixcraft.com/images/activity/24_iv0327432_ce204ce3e325307679dc90402e125214.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0327432
12/19（四）初夜台中,2024/12/19 (四),https://indievox.static.tixcraft.com/images/activity/24_iv0327017_74b08c0535e713a16511f22199195e4c.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0327017
FIRE ON MUSIC PRESENTS：BonFire Clash！高雄場,2024/12/20 (五),https://indievox.static.tixcraft.com/images/activity/24_iv032757a_023cad50af468fe395521b06796670f1.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032757a
Yash 心中的小恐龍,2024/12/20 (五),https://indievox.static.tixcraft.com/images/activity/24_iv03310db_0f8c35a849a6a10db25fa27854c1c011.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03310db
舒舒《說舒人》發片專場,2024/12/20 (五),https://indievox.static.tixcraft.com/images/activity/24_iv03303ed_cec29070881393f8a3e765eb6cb15c2d.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03303ed
12/21（六）醉惡迴響,2024/12/21 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03329a9_c7a73100815abf13fdc4fc4eac9cba41.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03329a9
Legacy Presents【2024都市女聲】洪安妮 “A Room in Brockley” 2024 Live  台中場,2024/12/21 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03255ed_5bea5cb0c1623240f32f9c6c66916d88.JPG,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03255ed
體熊專科。Major in Body Bear ｜ PLACE MYSELF IN YOUR PLACE - ONE MAN LIVE,2024/12/21 (六),https://indievox.static.tixcraft.com/images/activity/24_iv0330290_5f0ec7f3002f4b5d59b88f1ff496a5da.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0330290
普通隊長首張專輯《普通隊長》發片巡迴高雄站 w/???,2024/12/21 (六),https://indievox.static.tixcraft.com/images/activity/24_iv0321329_fe1d7adc2019d483312ba9ad0b0cd76d.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0321329
【缺 Incomplete】南西肯恩 NeciKen 2024 X-mas - Taipei,2024/12/21 (六),https://indievox.static.tixcraft.com/images/activity/24_iv0320758_220983a9b3235039e5a8a974e474f026.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0320758
國語作業簿-台北歡樂耶誕城 2024,2024/12/21 (六)  ~ 2024/12/22 (日),https://indievox.static.tixcraft.com/images/activity/24_iv03078d2_9d32e6cd51f817e6ad744712cb282c6d.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03078d2
翁祥《海在等待》,2024/12/22 (日),https://indievox.static.tixcraft.com/images/activity/24_iv032142a_ca2dac531bb06fa4487dfc4ca7fc71ff.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032142a
12/26(四） ⇢「monologue music」,2024/12/26 (四),https://indievox.static.tixcraft.com/images/activity/24_iv0330090_22d9e57f5e4e3239bd68af67c3f18dcb.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0330090
柯泯薰 misi Ke《好好的 BE GOOD》專輯發片專場,2024/12/26 (四),https://indievox.static.tixcraft.com/images/activity/24_iv032826c_360afab64994f4ab858d8b79c3517720.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032826c
Legacy Presents【2024都市女聲】黃玠瑋Zooey Wonder《She’s A Trouble》2024 Concert Tour - 台中場,2024/12/27 (五),https://indievox.static.tixcraft.com/images/activity/24_iv0332694_a58be380ef2fef8e15e9f047a08b88b3.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0332694
椅子樂團 2024 ”倖存者” 專場巡迴 台北場,2024/12/27 (五),https://indievox.static.tixcraft.com/images/activity/24_iv03324de_d2e7916294b0802ae959c1c7a5fcd74e.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03324de
12/27（五）初次見面,2024/12/27 (五),https://indievox.static.tixcraft.com/images/activity/24_iv033214b_c717f497f1b0f460f475069a58544feb.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv033214b
Legacy Presents【2024都市女聲】： YILE LIN 林以樂 素顏的樣子 True Colors　2024-25 Live Tour -台北場,2024/12/28 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03288f1_5434654f058ba906c153a07e858cd590.jpeg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03288f1
椅子樂團 2024 ”倖存者” 專場巡迴 台中場,2024/12/28 (六),https://indievox.static.tixcraft.com/images/activity/24_iv033259f_9da4ace80bb0dac35e4011b3cb6dbb14.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv033259f
